step,type,txn_val,nameOrig,old_bal,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
15,PAYMENT,11647.08,C1264712553,30370.0,18722.92,M215391829,0.0,0.0,0
403,TRANSFER,1551760.63,C333676753,0.0,0.0,C1564353608,3198359.45,4750120.08,0
259,PAYMENT,915.13,C2002954533,0.0,0.0,M290849763,0.0,0.0,0
230,PAYMENT,4865.11,C886849972,0.0,0.0,M623175144,0.0,0.0,0
18,PAYMENT,48691.16,C1810046508,0.0,0.0,M487081598,0.0,0.0,0
322,PAYMENT,36598.65,C1365498607,8240.66,0.0,M969218364,0.0,0.0,0
253,TRANSFER,940927.27,C1346570604,8568.0,0.0,C1178934515,0.0,940927.27,0
326,PAYMENT,26565.95,C1512675672,0.0,0.0,M1330826048,0.0,0.0,0
406,TRANSFER,18801.43,C920671013,126.0,0.0,C1418884586,0.0,18801.43,0
235,PAYMENT,3516.08,C633099116,0.0,0.0,M2117267163,0.0,0.0,0
346,PAYMENT,6987.8,C220437223,0.0,0.0,M1751641542,0.0,0.0,0
208,PAYMENT,24649.07,C1353964860,0.0,0.0,M1059671726,0.0,0.0,0
139,TRANSFER,598680.17,C544409289,45059.0,0.0,C956338890,2559233.0,3157913.17,0
139,PAYMENT,5090.28,C1405934398,50617.0,45526.72,M839389189,0.0,0.0,0
201,PAYMENT,11605.7,C484951468,0.0,0.0,M1504624467,0.0,0.0,0
138,PAYMENT,5055.72,C315487150,108809.83,103754.11,M1717055694,0.0,0.0,0
41,PAYMENT,12020.77,C1235787929,639020.83,627000.06,M1043686153,0.0,0.0,0
120,PAYMENT,14241.21,C1653380908,109207.0,94965.79,M77882578,0.0,0.0,0
373,PAYMENT,23480.16,C1099535493,5309.0,0.0,M933507080,0.0,0.0,0
369,PAYMENT,14270.03,C1496903190,3309.0,0.0,M946866772,0.0,0.0,0
275,PAYMENT,6851.17,C1051106607,0.0,0.0,M1348761534,0.0,0.0,0
304,PAYMENT,1704.03,C74556831,0.0,0.0,M1951402325,0.0,0.0,0
229,PAYMENT,21061.24,C40966245,0.0,0.0,M1653653617,0.0,0.0,0
259,PAYMENT,8129.46,C40866646,0.0,0.0,M182944108,0.0,0.0,0
234,PAYMENT,6492.32,C1321671140,252978.2,246485.88,M533921438,0.0,0.0,0
229,TRANSFER,21362.19,C1977482177,0.0,0.0,C1554823726,102800.19,124162.37,0
186,PAYMENT,16871.75,C1345262134,374693.53,357821.78,M1183610480,0.0,0.0,0
469,PAYMENT,38509.2,C174212239,0.0,0.0,M1265795703,0.0,0.0,0
399,PAYMENT,7301.4,C239144018,21426.0,14124.6,M1684201690,0.0,0.0,0
288,PAYMENT,51907.16,C1577059714,48529.0,0.0,M1955312313,0.0,0.0,0
204,PAYMENT,343.06,C1370498771,0.0,0.0,M301320628,0.0,0.0,0
281,PAYMENT,7452.27,C1418729422,254793.0,247340.73,M1996394103,0.0,0.0,0
324,PAYMENT,25380.11,C1515172243,0.0,0.0,M849428673,0.0,0.0,0
43,TRANSFER,406390.63,C449334349,0.0,0.0,C1477190619,596285.7,1002676.33,0
36,PAYMENT,17210.24,C2035379457,468747.37,451537.13,M1250735899,0.0,0.0,0
228,PAYMENT,241.89,C1249789290,103317.6,103075.72,M870078784,0.0,0.0,0
236,PAYMENT,5883.37,C1938448095,0.0,0.0,M1022031461,0.0,0.0,0
297,PAYMENT,13055.28,C508385511,0.0,0.0,M956027336,0.0,0.0,0
12,PAYMENT,616.88,C1013341637,107243.5,106626.62,M1942028884,0.0,0.0,0
13,PAYMENT,4986.63,C1359889730,0.0,0.0,M1124177815,0.0,0.0,0
36,PAYMENT,17692.64,C1270549119,10268.0,0.0,M743266449,0.0,0.0,0
403,PAYMENT,7457.89,C2051931889,0.0,0.0,M2079068430,0.0,0.0,0
254,PAYMENT,9414.76,C2023654274,5839.9,0.0,M210283336,0.0,0.0,0
206,PAYMENT,17485.51,C928494081,9339.0,0.0,M981647331,0.0,0.0,0
188,PAYMENT,1408.77,C1359417325,99765.0,98356.23,M369555754,0.0,0.0,0
356,PAYMENT,11348.41,C1602089084,9611.61,0.0,M1756029493,0.0,0.0,0
203,PAYMENT,2249.75,C102483840,49824.0,47574.25,M926772394,0.0,0.0,0
11,PAYMENT,22006.91,C1477296233,187492.15,165485.24,M1819638608,0.0,0.0,0
255,PAYMENT,16964.15,C648700740,21330.0,4365.85,M157710685,0.0,0.0,0
35,TRANSFER,125132.6,C1616958476,292194.0,167061.4,C2085899258,0.0,125132.6,0
240,PAYMENT,7443.29,C1655583311,311.0,0.0,M976098062,0.0,0.0,0
35,PAYMENT,18520.37,C1346718641,37618.39,19098.02,M1530543057,0.0,0.0,0
8,PAYMENT,5000.93,C804921125,0.0,0.0,M1348049534,0.0,0.0,0
403,PAYMENT,1375.93,C805028279,39672.19,38296.26,M118328816,0.0,0.0,0
142,PAYMENT,9387.6,C1478451246,101296.39,91908.79,M1595492079,0.0,0.0,0
328,TRANSFER,1086782.27,C1260349918,0.0,0.0,C897735701,4334991.17,5421773.44,0
335,PAYMENT,680.96,C340149850,244624.0,243943.04,M906983781,0.0,0.0,0
190,PAYMENT,4192.45,C2121240346,141582.75,137390.3,M300922993,0.0,0.0,0
38,PAYMENT,6865.83,C1560448195,16065.0,9199.17,M702530586,0.0,0.0,0
404,PAYMENT,29753.14,C1309130238,99613.0,69859.86,M1003264751,0.0,0.0,0
211,TRANSFER,658510.65,C683799433,0.0,0.0,C1489116061,4160208.26,4818718.91,0
357,PAYMENT,14962.54,C352220876,99053.0,84090.46,M400743766,0.0,0.0,0
163,PAYMENT,8548.76,C211960157,21358.0,12809.24,M1530234511,0.0,0.0,0
514,TRANSFER,1958230.6,C2126397003,69563.0,0.0,C1724208100,5345774.9,7304005.5,0
297,PAYMENT,7803.55,C20748083,0.0,0.0,M1298362179,0.0,0.0,0
349,PAYMENT,22673.48,C509952728,21910.0,0.0,M1882783306,0.0,0.0,0
161,PAYMENT,1416.71,C1260935439,188315.86,186899.15,M1471767414,0.0,0.0,0
202,PAYMENT,8941.05,C773163139,160.0,0.0,M1610300123,0.0,0.0,0
163,PAYMENT,1412.48,C1798880828,10052.0,8639.52,M716959429,0.0,0.0,0
333,PAYMENT,15039.71,C1613457151,0.0,0.0,M227579288,0.0,0.0,0
380,PAYMENT,10424.44,C280147801,20809.0,10384.56,M1295606785,0.0,0.0,0
405,PAYMENT,7328.72,C871652084,0.0,0.0,M888843538,0.0,0.0,0
326,PAYMENT,16769.79,C1946777947,15952.0,0.0,M1230436756,0.0,0.0,0
18,PAYMENT,7858.1,C1844580132,20773.0,12914.9,M563268470,0.0,0.0,0
300,TRANSFER,292037.17,C1065363833,0.0,0.0,C1515536749,953736.46,1245773.64,0
257,TRANSFER,63982.69,C303128054,0.0,0.0,C822214416,95692.27,159674.96,0
155,PAYMENT,3170.83,C548608193,49631.0,46460.17,M1953778756,0.0,0.0,0
12,PAYMENT,10446.68,C1482458700,0.0,0.0,M1177905091,0.0,0.0,0
396,TRANSFER,875213.55,C1367522019,0.0,0.0,C136356616,4309830.28,5185043.84,0
11,PAYMENT,14459.22,C897923211,39948.0,25488.78,M961418448,0.0,0.0,0
250,PAYMENT,4987.09,C105766657,299610.0,294622.91,M1313111844,0.0,0.0,0
234,TRANSFER,115712.36,C710617656,0.0,0.0,C280794150,1098693.52,1214405.88,0
656,PAYMENT,5220.64,C2054628112,2062.0,0.0,M1449664957,0.0,0.0,0
299,PAYMENT,20936.47,C1553137068,7182.0,0.0,M1309446387,0.0,0.0,0
249,TRANSFER,268912.48,C432147162,0.0,0.0,C71562765,1111399.5,1380311.99,0
191,PAYMENT,245.4,C640064078,0.0,0.0,M848116774,0.0,0.0,0
331,TRANSFER,35206.18,C1780541439,0.0,0.0,C352607904,142763.66,177969.84,0
136,PAYMENT,13382.29,C756435736,0.0,0.0,M2113537778,0.0,0.0,0
41,TRANSFER,518339.83,C559078087,0.0,0.0,C1728460906,7554201.05,8072540.88,0
39,TRANSFER,451310.12,C604541326,54987.0,0.0,C2146875526,974842.68,1797288.53,0
236,TRANSFER,813462.62,C40905611,153223.0,0.0,C453039491,67479.59,880942.21,0
225,PAYMENT,82797.84,C1411102270,31931.0,0.0,M8961529,0.0,0.0,0
303,PAYMENT,13763.87,C1532316610,0.0,0.0,M1131873222,0.0,0.0,0
350,PAYMENT,13176.51,C558630256,0.0,0.0,M1646382835,0.0,0.0,0
335,PAYMENT,58760.91,C805432013,480859.24,422098.33,M703071544,0.0,0.0,0
590,PAYMENT,9296.83,C820447403,0.0,0.0,M184735125,0.0,0.0,0
356,PAYMENT,8164.01,C1405528965,0.0,0.0,M1933926398,0.0,0.0,0
201,PAYMENT,15068.73,C1830375097,0.0,0.0,M1991416,0.0,0.0,0
155,PAYMENT,14298.25,C1982775599,0.0,0.0,M1309930156,0.0,0.0,0
249,PAYMENT,12596.61,C1963550118,0.0,0.0,M1695671000,0.0,0.0,0
373,PAYMENT,1251.94,C2146933874,0.0,0.0,M1527627185,0.0,0.0,0
382,PAYMENT,1068.21,C1480105448,4006.95,2938.74,M1374852383,0.0,0.0,0
132,PAYMENT,14511.02,C236635667,0.0,0.0,M698251819,0.0,0.0,0
44,PAYMENT,3551.26,C1828136324,843.47,0.0,M1662786733,0.0,0.0,0
7,TRANSFER,1331086.47,C1982404838,15432.0,0.0,C1210180003,59949.22,1313362.94,0
206,PAYMENT,2901.96,C776180615,56324.0,53422.04,M2030050716,0.0,0.0,0
157,PAYMENT,24104.54,C16708267,0.0,0.0,M1911445805,0.0,0.0,0
306,TRANSFER,875582.25,C1598042404,94595.97,0.0,C1378537795,9622156.32,10497738.57,0
249,PAYMENT,13344.1,C400990872,7292.0,0.0,M300081380,0.0,0.0,0
289,PAYMENT,8579.34,C662980180,20366.0,11786.66,M317737019,0.0,0.0,0
154,PAYMENT,22434.71,C1019120294,10420.14,0.0,M2011269895,0.0,0.0,0
208,TRANSFER,437371.03,C979315962,0.0,0.0,C45958213,564026.21,1001397.24,0
18,PAYMENT,7848.71,C1832568799,196040.06,188191.35,M1629378206,0.0,0.0,0
278,TRANSFER,327534.3,C1936578603,0.0,0.0,C1514199309,1067390.45,1394924.75,0
518,TRANSFER,153990.5,C1619280891,201778.0,47787.5,C1837241611,0.0,153990.5,0
42,TRANSFER,935639.61,C1699211236,89771.37,0.0,C1293949664,2037867.29,2973506.9,0
164,PAYMENT,12209.45,C1549828854,16901.0,4691.55,M1435742536,0.0,0.0,0
140,PAYMENT,5222.23,C2036462106,30296.0,25073.77,M2080924806,0.0,0.0,0
233,PAYMENT,29279.51,C1877480943,0.0,0.0,M17092044,0.0,0.0,0
255,PAYMENT,206.84,C329671918,25968.18,25761.34,M830219798,0.0,0.0,0
210,TRANSFER,68324.55,C1204432983,0.0,0.0,C1440200379,324774.11,393098.67,0
402,PAYMENT,14872.25,C1623560754,276972.22,262099.98,M1625741812,0.0,0.0,0
300,PAYMENT,25540.34,C1817780317,50002.0,24461.66,M1798263689,0.0,0.0,0
41,PAYMENT,336.46,C1512711427,50076.0,49739.54,M610095315,0.0,0.0,0
234,PAYMENT,17147.59,C827453658,12154.0,0.0,M364965509,0.0,0.0,0
349,PAYMENT,48213.75,C1194602188,5866.0,0.0,M897474644,0.0,0.0,0
160,PAYMENT,5718.88,C1576282858,6731.0,1012.12,M1072291811,0.0,0.0,0
229,PAYMENT,4962.99,C1589115167,14752.0,9789.01,M1768343139,0.0,0.0,0
155,PAYMENT,1854.44,C1146107700,0.0,0.0,M1816242792,0.0,0.0,0
234,PAYMENT,5392.12,C1503656322,10831.0,5438.88,M1243910048,0.0,0.0,0
177,PAYMENT,17076.51,C1058293025,0.0,0.0,M741336750,0.0,0.0,0
330,PAYMENT,34917.61,C435002653,0.0,0.0,M1177544744,0.0,0.0,0
393,PAYMENT,38264.08,C1431131974,0.0,0.0,M633940431,0.0,0.0,0
589,PAYMENT,23715.07,C1935530674,18776.87,0.0,M1967390182,0.0,0.0,0
258,PAYMENT,8360.75,C1538904718,0.0,0.0,M750457778,0.0,0.0,0
375,PAYMENT,12460.31,C1383263848,1376.0,0.0,M628249863,0.0,0.0,0
352,PAYMENT,16532.0,C1774537867,0.0,0.0,M1631103685,0.0,0.0,0
185,PAYMENT,5021.82,C951531132,64831.0,59809.18,M853666510,0.0,0.0,0
160,PAYMENT,8452.42,C1803002069,0.0,0.0,M643846034,0.0,0.0,0
684,TRANSFER,4126119.93,C625476444,344527.0,0.0,C188307334,446963.89,4573083.81,0
228,PAYMENT,40925.8,C1255646682,34424.0,0.0,M1929470346,0.0,0.0,0
354,PAYMENT,44871.04,C857906147,41272.0,0.0,M1998016541,0.0,0.0,0
308,PAYMENT,10503.54,C1598086365,0.0,0.0,M1324449999,0.0,0.0,0
17,PAYMENT,13589.33,C956148525,0.0,0.0,M34592661,0.0,0.0,0
354,TRANSFER,97301.71,C1750384848,31239.0,0.0,C939322176,36857953.61,36955255.33,0
692,PAYMENT,361.53,C284456399,0.0,0.0,M1667812216,0.0,0.0,0
231,PAYMENT,8363.79,C916767038,21153.0,12789.21,M1900051947,0.0,0.0,0
42,TRANSFER,62545.94,C988195365,0.0,0.0,C1027773814,605699.22,668245.16,0
287,PAYMENT,18492.44,C215824393,726.0,0.0,M1145370021,0.0,0.0,0
188,PAYMENT,13755.82,C587377409,243465.86,229710.04,M2143644128,0.0,0.0,0
158,PAYMENT,15330.4,C1047250699,747.0,0.0,M1901970472,0.0,0.0,0
258,PAYMENT,15785.4,C1665011228,25046.0,9260.6,M1247892773,0.0,0.0,0
353,PAYMENT,9432.14,C1014445701,19905.0,10472.86,M851408374,0.0,0.0,0
525,PAYMENT,23766.59,C481112045,111026.0,87259.41,M1310549886,0.0,0.0,0
