step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
139,CASH_OUT,97502.58,C378583051,0.0,0.0,C2024388240,143669.5,241172.08,0,0
131,TRANSFER,354402.9,C558895391,410027.06,55624.16,C810756973,1314099.04,1668501.94,0,0
98,CASH_OUT,8055.06,C1544350298,8055.06,0.0,C912405348,0.0,8055.06,1,0
550,TRANSFER,342309.91,C662184778,342309.91,0.0,C1740503020,0.0,0.0,1,0
586,CASH_OUT,2581549.92,C648614053,2581549.92,0.0,C213455810,0.0,2581549.92,1,0
528,CASH_OUT,501101.41,C658485772,501101.41,0.0,C1576836568,561058.61,1062160.03,1,0
372,CASH_OUT,171498.84,C167545259,0.0,0.0,C1934387959,1962178.09,2133676.93,0,0
275,CASH_OUT,2607790.58,C234957990,2607790.58,0.0,C1475995578,7640097.83,10247888.41,1,0
158,CASH_OUT,230465.74,C453894808,0.0,0.0,C1961358195,619367.48,849833.22,0,0
11,CASH_OUT,113596.85,C748153616,0.0,0.0,C820920634,2137124.21,2550821.66,0,0
693,TRANSFER,1018645.2,C213913405,1018645.2,0.0,C72963168,0.0,0.0,1,0
156,CASH_OUT,773338.26,C599046555,31477.0,0.0,C1813005913,1252635.01,2025973.26,0,0
164,CASH_OUT,118720.57,C848856648,277.0,0.0,C724924934,1529567.98,1648288.55,0,0
346,TRANSFER,516355.22,C1361333152,516355.22,0.0,C46072537,0.0,0.0,1,0
305,TRANSFER,10000000.0,C1660275627,12321633.57,2321633.57,C851819118,0.0,0.0,1,0
394,CASH_OUT,75145.58,C1771954834,10641.0,0.0,C1673814123,0.0,75145.58,0,0
16,CASH_OUT,121626.82,C828364266,121626.82,0.0,C101179743,653744.34,775371.16,1,0
352,CASH_OUT,104090.91,C1444359810,0.0,0.0,C877641909,888122.45,992213.36,0,0
130,CASH_OUT,489262.5,C49323090,39623.0,0.0,C957140836,0.0,489262.5,0,0
692,TRANSFER,496807.7,C910242564,401580.0,0.0,C1098962316,534056.51,1030864.21,0,0
186,CASH_OUT,13604.63,C1013843287,216588.0,202983.37,C224835743,433680.87,447285.49,0,0
373,CASH_OUT,360592.9,C2067816650,11625.0,0.0,C668162111,0.0,360592.9,0,0
25,CASH_OUT,249159.26,C1962232117,249159.26,0.0,C750661006,285997.41,535156.67,1,0
211,CASH_OUT,67763.76,C532167824,195370.0,127606.24,C637044411,1218065.28,1285829.04,0,0
305,CASH_OUT,126248.63,C885123563,0.0,0.0,C920388452,1407305.98,1533554.61,0,0
444,TRANSFER,1186725.39,C1047335023,1186725.39,0.0,C1970958530,0.0,0.0,1,0
698,TRANSFER,9097679.75,C413853456,9097679.75,0.0,C949247454,0.0,0.0,1,0
536,TRANSFER,624686.04,C1401632766,624686.04,0.0,C1786081115,0.0,0.0,1,0
576,CASH_OUT,1322277.84,C1585759405,1322277.84,0.0,C1855735331,0.0,1322277.84,1,0
590,TRANSFER,179725.06,C916884733,179725.06,0.0,C829501774,0.0,0.0,1,0
248,CASH_OUT,18035.14,C1218999932,18035.14,0.0,C463930958,0.0,18035.14,1,0
450,CASH_OUT,36267.62,C281930322,36267.62,0.0,C1655359478,6310213.47,6346481.09,1,0
317,CASH_OUT,493.28,C2126327419,493.28,0.0,C1658560139,1078812.78,1079306.06,1,0
298,CASH_OUT,67465.37,C831763417,0.0,0.0,C1051229229,2548623.83,2616089.2,0,0
13,CASH_OUT,1161495.82,C165094398,1161495.82,0.0,C1966002811,319036.02,1565123.81,1,0
205,CASH_OUT,273683.15,C538304778,25733.0,0.0,C161208241,2478735.6,2752418.75,0,0
375,TRANSFER,658828.55,C1924776659,67684.0,0.0,C1369015208,0.0,658828.55,0,0
356,CASH_OUT,305348.77,C1540261001,0.0,0.0,C162999628,401021.07,706369.84,0,0
339,CASH_OUT,164382.72,C1859886092,164382.72,0.0,C782666310,445530.63,609913.36,1,0
235,CASH_OUT,282015.74,C496175080,12534.0,0.0,C1745674812,624059.22,906074.96,0,0
259,CASH_OUT,110440.7,C731879662,0.0,0.0,C1939894992,188746.82,299187.51,0,0
42,CASH_OUT,438337.89,C776573461,903.0,0.0,C914084924,15068.0,453405.89,0,0
394,TRANSFER,42778.15,C2145175961,156664.0,113885.85,C948948703,118383.81,161161.96,0,0
402,CASH_OUT,122926.99,C667394224,8929.0,0.0,C154244529,0.0,8006.26,0,0
493,CASH_OUT,605108.36,C258213312,605108.36,0.0,C1204527929,893880.11,1498988.47,1,0
228,CASH_OUT,263090.33,C1340727587,0.0,0.0,C273854464,1070407.97,1333498.31,0,0
227,CASH_OUT,53562.75,C425098335,231663.0,178100.25,C108704139,168466.07,222028.82,0,0
646,CASH_OUT,10000000.0,C51318897,10000000.0,0.0,C259016801,0.0,10000000.0,1,0
527,TRANSFER,1094419.89,C1749621461,1094419.89,0.0,C1910771897,0.0,0.0,1,0
347,TRANSFER,2157706.35,C673954640,252.0,0.0,C1339968750,3581376.4,5739082.75,0,0
473,CASH_OUT,179700.14,C1270751664,179700.14,0.0,C1991324873,1792.34,181492.48,1,0
41,TRANSFER,82806.2,C474735735,82806.2,0.0,C1737223057,0.0,0.0,1,0
572,TRANSFER,151715.39,C1308715820,151715.39,0.0,C997543700,0.0,0.0,1,0
541,CASH_OUT,2629417.41,C903487655,2629417.41,0.0,C1853529603,0.0,2629417.41,1,0
349,CASH_OUT,494135.8,C607633706,57123.0,0.0,C1007357500,93203.15,587338.95,0,0
256,CASH_OUT,169773.61,C880472456,50179.0,0.0,C2012743878,18458.43,188232.03,0,0
258,CASH_OUT,2684142.41,C1423321917,2684142.41,0.0,C1442224179,209538.74,2893681.15,1,0
346,CASH_OUT,243213.14,C847828445,0.0,0.0,C1259034583,841208.14,1084421.28,0,0
87,TRANSFER,115461.48,C1864352304,115461.48,0.0,C238575749,0.0,0.0,1,0
327,CASH_OUT,37802.43,C1285536309,28884.0,0.0,C190045042,0.0,37802.43,0,0
132,CASH_OUT,44491.05,C831896276,0.0,0.0,C1376570100,1402914.81,1447405.86,0,0
350,CASH_OUT,200575.32,C934506221,103272.0,0.0,C261109499,0.0,200575.32,0,0
127,TRANSFER,321883.89,C159404315,321883.89,0.0,C1578451350,0.0,0.0,1,0
289,CASH_OUT,87219.11,C790263218,87219.11,0.0,C1380927357,45443.64,132662.75,1,0
260,CASH_OUT,64058.56,C1761489733,10328.0,0.0,C1519996850,0.0,64058.56,0,0
163,TRANSFER,163294.35,C1008040846,163294.35,0.0,C1284780903,0.0,0.0,1,0
307,TRANSFER,1749325.14,C1343086585,1749325.14,0.0,C256353022,0.0,0.0,1,0
595,CASH_OUT,236914.77,C1406154490,236914.77,0.0,C423223953,175716.84,412631.61,1,0
307,TRANSFER,1860.24,C462428584,123415.0,121554.76,C2144560742,922717.76,924578.0,0,0
173,TRANSFER,8594499.99,C377226285,8594499.99,0.0,C497430875,0.0,0.0,1,0
9,TRANSFER,21922.0,C102617052,21922.0,0.0,C760675871,0.0,0.0,1,0
403,CASH_OUT,210303.23,C1557464407,118897.0,0.0,C1502954195,0.0,210303.23,0,0
621,TRANSFER,348751.45,C1707939649,348751.45,0.0,C613081962,0.0,0.0,1,0
212,CASH_OUT,319245.76,C363672508,0.0,0.0,C2028859095,371233.6,690479.36,0,0
180,CASH_OUT,79714.86,C1499442774,0.0,0.0,C470360711,258094.36,337809.22,0,0
375,CASH_OUT,45994.8,C966180392,0.0,0.0,C1926343982,5593514.5,5639509.3,0,0
250,CASH_OUT,368811.1,C560956874,1205.0,0.0,C393762288,56253.78,425064.89,0,0
117,TRANSFER,251621.18,C879463132,251621.18,0.0,C89396076,0.0,0.0,1,0
1,CASH_OUT,2806.0,C2101527076,2806.0,0.0,C1007251739,26202.0,0.0,1,0
350,CASH_OUT,148163.48,C1597047074,22117.0,0.0,C1139171711,576200.11,724363.59,0,0
679,TRANSFER,3150438.28,C1921052827,3150438.28,0.0,C117597233,0.0,0.0,1,0
235,CASH_OUT,359252.45,C33478984,6062.0,0.0,C1090918822,955838.4,1315090.86,0,0
190,CASH_OUT,265747.73,C2046465313,265747.73,0.0,C1929273714,0.0,265747.73,1,0
230,CASH_OUT,146473.03,C390634945,0.0,0.0,C1582400462,23873645.08,24354703.75,0,0
9,CASH_OUT,304798.25,C797004460,0.0,0.0,C584814955,307045.35,344299.15,0,0
331,CASH_OUT,99246.69,C523268378,45.0,0.0,C1795667361,1777674.31,1876921.0,0,0
277,TRANSFER,233769.89,C1869790728,0.0,0.0,C1165277680,280356.0,514125.89,0,0
475,CASH_OUT,20111.45,C1538717187,20111.45,0.0,C685749303,1431418.64,1451530.08,1,0
437,CASH_OUT,119041.12,C1186588727,119041.12,0.0,C1803677930,1755159.6,1874200.73,1,0
227,CASH_OUT,2815893.17,C716780385,2815893.17,0.0,C2047944461,104430.53,2920323.7,1,0
713,TRANSFER,2046684.58,C1240168728,2046684.58,0.0,C807998987,0.0,0.0,1,0
11,TRANSFER,313418.28,C711446907,313418.28,0.0,C888769567,0.0,97980.88,1,0
412,TRANSFER,381977.83,C692435443,381977.83,0.0,C1301812889,0.0,0.0,1,0
644,TRANSFER,628033.58,C461413843,628033.58,0.0,C1733340039,0.0,0.0,1,0
307,CASH_OUT,74480.63,C1098590671,0.0,0.0,C182527454,75290.65,149771.28,0,0
201,CASH_OUT,102624.38,C2143598085,0.0,0.0,C1855558412,1560898.08,1663522.46,0,0
646,CASH_OUT,10000000.0,C352927410,10000000.0,0.0,C593822721,0.0,10000000.0,1,0
277,TRANSFER,621387.64,C1520262404,621387.64,0.0,C622056239,0.0,0.0,1,0
716,TRANSFER,455386.57,C1237757319,455386.57,0.0,C1987660225,0.0,0.0,1,0
696,TRANSFER,803038.11,C1481259935,803038.11,0.0,C749805705,0.0,0.0,1,0
470,TRANSFER,2859010.61,C2075115765,2859010.61,0.0,C2025150574,0.0,0.0,1,0
282,TRANSFER,1564952.45,C629586313,1564952.45,0.0,C1455441371,0.0,0.0,1,0
445,TRANSFER,100433.21,C1110061558,100433.21,0.0,C1628647605,0.0,0.0,1,0
343,TRANSFER,237943.62,C421063586,237943.62,0.0,C339061789,0.0,0.0,1,0
491,TRANSFER,1265033.25,C816802649,1265033.25,0.0,C1270749460,0.0,0.0,1,0
