step,type,txn_val,nameOrig,old_bal,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
12,CASH_OUT,12044.08,C1940248577,0.0,0.0,C2061011390,7136655.23,7148699.31,0,0
596,CASH_OUT,204721.27,C357911107,204721.27,0.0,C1450973124,0.0,204721.27,1,0
249,TRANSFER,4720554.95,C1305598780,4720554.95,0.0,C1860004180,0.0,0.0,1,0
387,CASH_OUT,1101871.13,C587748822,1101871.13,0.0,C1024816924,442604.16,1544475.3,1,0
44,CASH_OUT,37308.29,C1405906135,5058.0,0.0,C818550400,724869.35,762177.64,0,0
43,CASH_OUT,139501.94,C1684811299,24539.0,0.0,C1438594533,165442.4,304944.35,0,0
656,CASH_OUT,766257.55,C38948739,766257.55,0.0,C533828275,46141756.44,46908013.99,1,0
26,CASH_OUT,331829.94,C1357985676,331829.94,0.0,C255246845,792855.99,1124685.94,1,0
14,CASH_OUT,709116.05,C323452037,0.0,0.0,C1202237868,1023204.38,1732320.44,0,0
43,CASH_OUT,508205.41,C1004428174,0.0,0.0,C967218202,4587936.93,5096142.34,0,0
342,TRANSFER,21279.19,C1200071210,21279.19,0.0,C794836195,0.0,0.0,1,0
259,TRANSFER,697144.35,C1604362706,0.0,0.0,C99537162,1246744.09,1943888.44,0,0
724,TRANSFER,501425.84,C241686740,501425.84,0.0,C2071832199,0.0,0.0,1,0
179,CASH_OUT,1494831.65,C1709710853,1494831.65,0.0,C1758704619,0.0,1494831.65,1,0
362,TRANSFER,1397689.48,C1224276273,1397689.48,0.0,C298592695,0.0,0.0,1,0
401,CASH_OUT,50327.97,C2041477039,0.0,0.0,C1537919329,6124434.66,6174762.62,0,0
232,TRANSFER,192415.39,C140435852,0.0,0.0,C2111893020,1394598.49,1587013.88,0,0
131,CASH_OUT,7476725.66,C262815390,7476725.66,0.0,C450403816,99749.6,7576475.27,1,0
312,CASH_OUT,608290.12,C1818027225,608290.12,0.0,C1832609455,187218.01,795508.14,1,0
9,CASH_OUT,164888.14,C550855356,1344226.02,1179337.88,C1785642500,1759166.01,2611537.27,0,0
260,CASH_OUT,192865.1,C1925199965,10392.0,0.0,C11792340,0.0,192865.1,0,0
165,CASH_OUT,297962.89,C1569323343,0.0,0.0,C499996470,2939508.51,3237471.41,0,0
619,CASH_OUT,347893.16,C238168336,347893.16,0.0,C1904688635,0.0,347893.16,1,0
646,CASH_OUT,10000000.0,C1474911553,10000000.0,0.0,C503835851,332983.03,10332983.03,1,0
451,CASH_OUT,90425.62,C1529710086,2154.0,0.0,C237793728,0.0,90425.62,0,0
186,CASH_OUT,23914.22,C1529165324,0.0,0.0,C680242514,1559767.1,1583681.32,0,0
366,TRANSFER,1846748.79,C1895315229,1846748.79,0.0,C1691229227,0.0,0.0,1,0
22,TRANSFER,461509.86,C1765744035,461509.86,0.0,C788887602,0.0,0.0,1,0
306,CASH_OUT,334262.27,C917164585,0.0,0.0,C2109365726,1201648.21,1535910.48,0,0
145,TRANSFER,9467.62,C384072543,9467.62,0.0,C588343679,0.0,0.0,1,0
669,TRANSFER,106290.68,C1767695983,106290.68,0.0,C742240687,0.0,0.0,1,0
287,TRANSFER,301588.53,C881403120,50898.0,0.0,C1196055145,809317.54,1110906.07,0,0
502,CASH_OUT,66066.73,C1566921402,66066.73,0.0,C1640218672,0.0,66066.73,1,0
354,CASH_OUT,195112.46,C1228809428,1270.0,0.0,C1351489000,380426.23,575538.69,0,0
258,CASH_OUT,24934.12,C524674541,226697.0,201762.88,C2122155357,62319.74,87253.85,0,0
467,TRANSFER,5937.19,C904059459,5937.19,0.0,C1237495348,0.0,0.0,1,0
183,CASH_OUT,224378.1,C1234321469,224378.1,0.0,C105660024,483419.25,707797.36,1,0
367,TRANSFER,362672.57,C903484940,362672.57,0.0,C1036408252,0.0,0.0,1,0
680,TRANSFER,2254417.02,C1125239020,2254417.02,0.0,C986951874,0.0,0.0,1,0
307,CASH_OUT,95276.43,C1951085361,31060.0,0.0,C1113024226,0.0,95276.43,0,0
537,CASH_OUT,254773.22,C127960549,254773.22,0.0,C1692377188,672304.86,927078.09,1,0
131,CASH_OUT,23666.22,C1665765845,0.0,0.0,C1970654767,72922.64,96588.86,0,0
298,CASH_OUT,426365.44,C455071867,30677.0,0.0,C1325715213,2217515.87,2643881.31,0,0
356,CASH_OUT,5952739.3,C902008507,5952739.3,0.0,C1795644557,26300.83,5979040.12,1,0
406,TRANSFER,64063.98,C1407881704,0.0,0.0,C817019743,157094.88,221158.87,0,0
305,TRANSFER,7838726.76,C1051373600,122148.0,0.0,C1882924257,2866121.62,10704848.38,0,0
376,CASH_OUT,262018.77,C1073223703,186.0,0.0,C1825332440,90453.61,352472.38,0,0
613,CASH_OUT,980310.0,C12592309,980310.0,0.0,C1599619333,0.0,980310.0,1,0
19,CASH_OUT,137819.64,C159003671,31428.0,0.0,C1567921963,124816.68,293039.97,0,0
