step,type,amount_cents,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
646,CASH_OUT,646891664.0,C1530429651,646891664.0,0.0,C188203281,3568490.0,650460155.0,1,0
567,TRANSFER,189345173.0,C400595138,189345173.0,0.0,C1773342001,0.0,0.0,1,0
440,TRANSFER,1000000000.0,C1351320610,1504959433.0,504959433.0,C1808132497,0.0,0.0,1,0
536,CASH_OUT,23256537.0,C605492867,23256537.0,0.0,C64627863,0.0,23256537.0,1,0
408,TRANSFER,31393667.0,C809683747,31393667.0,0.0,C1317216992,0.0,0.0,1,0
521,CASH_OUT,508742203.0,C1987097058,508742203.0,0.0,C1995541082,1662806.0000000002,510405009.0,1,0
229,CASH_OUT,8827454.0,C1848963912,3354246.0,0.0,C315452466,90192781.0,99020236.0,0,0
17,CASH_OUT,1778791.9999999998,C257430121,80478946.0,78700154.0,C192502610,95282111.0,81237208.0,0,0
688,TRANSFER,97113363.0,C601676623,97113363.0,0.0,C1032131378,0.0,0.0,1,0
259,CASH_OUT,23322818.0,C1198549175,0.0,0.0,C538460512,105415090.99999999,128737909.00000001,0,0
227,CASH_OUT,18680480.0,C126780394,32949244.0,14268764.000000002,C1253040515,621977151.0,640657631.0,0,0
354,TRANSFER,42886491.0,C67762404,2978900.0,0.0,C1943730297,148992007.0,191878498.0,0,0
45,TRANSFER,21725597.0,C1481880227,21725597.0,0.0,C948441746,0.0,0.0,1,0
155,CASH_OUT,37943449.0,C531507735,0.0,0.0,C883407131,346201886.0,384145335.0,0,0
129,CASH_OUT,8336217.999999999,C70926188,0.0,0.0,C124722810,160969209.0,169305427.0,0,0
371,CASH_OUT,6769900.999999999,C1758818605,0.0,0.0,C988828857,104848361.0,111618262.00000001,0,0
357,TRANSFER,65315155.00000001,C1103031078,65315155.00000001,0.0,C1355105404,0.0,0.0,1,0
520,CASH_OUT,27158928.000000004,C344988712,0.0,0.0,C805087906,157573637.0,184732565.0,0,0
659,TRANSFER,279650916.0,C731071341,4700.0,0.0,C1551798717,0.0,279650916.0,0,0
65,TRANSFER,21583.0,C270115029,21583.0,0.0,C1574358644,0.0,0.0,1,0
275,CASH_OUT,25114719.0,C273021182,8900.0,0.0,C1836943994,45406114.0,70520833.0,0,0
527,CASH_OUT,5796849.0,C3845440,0.0,0.0,C330280215,33200983.0,38997833.0,0,0
503,TRANSFER,25168305.0,C1112029444,25168305.0,0.0,C1819822165,0.0,0.0,1,0
538,CASH_OUT,3743678.0,C434098204,3743678.0,0.0,C671296081,0.0,3743678.0,1,0
180,CASH_OUT,20692694.0,C1712959861,20388700.0,0.0,C1295143485,22926460.0,43619154.0,0,0
335,TRANSFER,149520380.0,C1515649837,149520380.0,0.0,C1556905270,0.0,0.0,1,0
194,TRANSFER,294217794.0,C1416798021,294217794.0,0.0,C1082370517,0.0,0.0,1,0
285,CASH_OUT,1289266.0,C932680425,1246400.0,0.0,C1564392045,0.0,1289266.0,0,0
379,CASH_OUT,7228217.0,C1506285922,0.0,0.0,C45364617,27757077.0,34985293.0,0,0
386,TRANSFER,87981051.0,C739793738,87981051.0,0.0,C1971770785,0.0,0.0,1,0
522,TRANSFER,382305840.0,C1477655348,10124800.0,0.0,C1390843974,5358467.0,387664307.0,0,0
18,CASH_OUT,25091026.0,C1714763910,106800.0,0.0,C1998402088,19500300.0,45782912.0,0,0
348,CASH_OUT,24165075.0,C430336361,29181100.0,5016025.0,C776657292,8307899.000000001,32472974.0,0,0
11,CASH_OUT,3811041.0000000005,C157014085,15637100.0,11826059.0,C820473497,15187497.0,18998538.0,0,0
331,TRANSFER,15630615.0,C130033758,0.0,0.0,C2088213412,94692976.0,110323590.99999999,0,0
190,CASH_OUT,727592.0,C1428156748,0.0,0.0,C1194765336,1361206941.0,1361934532.0,0,0
634,TRANSFER,2615382.0,C1763793632,2615382.0,0.0,C1611752752,0.0,0.0,1,0
160,CASH_OUT,36074976.0,C886662804,36074976.0,0.0,C1391856645,46800541.0,82875518.0,1,0
500,CASH_OUT,12484012.0,C1828917944,0.0,0.0,C204201990,134169306.0,146653318.0,0,0
207,TRANSFER,9860700.0,C2096409335,11342700.0,1482000.0,C1082121606,9236796.0,19097495.0,0,0
251,CASH_OUT,11367888.0,C930065879,38819800.0,27451912.0,C770338007,98433761.0,130612287.99999999,0,0
331,CASH_OUT,6495305.0,C1819666977,0.0,0.0,C849456279,111086142.0,117581447.0,0,0
212,CASH_OUT,1000000000.0,C1853514800,1000000000.0,0.0,C591314687,0.0,1000000000.0,1,0
308,CASH_OUT,8061378.999999999,C424235558,43005500.0,34944121.0,C229313132,1424653233.0,1432714613.0,0,0
344,TRANSFER,223158050.0,C123840755,223158050.0,0.0,C417847795,0.0,0.0,1,0
393,CASH_OUT,13988550.0,C1320281649,0.0,0.0,C92460441,34941040.0,48929590.0,0,0
105,TRANSFER,3549647.0,C1365223423,3549647.0,0.0,C1732693893,0.0,0.0,1,0
682,CASH_OUT,36895194.0,C2106880723,36895194.0,0.0,C626396465,1914157.0,38809351.0,1,0
542,CASH_OUT,2385986.0,C613398830,948200.0,0.0,C143665280,1271625938.0,1274011925.0,0,0
588,TRANSFER,9853336.0,C158107146,9853336.0,0.0,C1790666216,0.0,0.0,1,0
12,CASH_OUT,26103894.0,C255346367,0.0,0.0,C780950222,388056650.0,414160544.0,0,0
133,CASH_OUT,46317439.0,C1305216169,11414900.0,0.0,C68470903,0.0,46317439.0,0,0
489,TRANSFER,751562463.0,C1144230283,751562463.0,0.0,C1501063702,0.0,0.0,1,0
524,CASH_OUT,16752810.0,C1889317311,0.0,0.0,C736774791,20591621.0,37344430.0,0,0
259,TRANSFER,10673173.0,C1499645272,25019600.0,14346426.999999998,C103022597,0.0,10673173.0,0,0
330,TRANSFER,42073685.0,C1340733932,1912600.0,0.0,C1813513745,13563494.0,55637180.00000001,0,0
157,TRANSFER,20696235.0,C677596225,0.0,0.0,C237276823,78059762.0,98755997.0,0,0
11,CASH_OUT,17279963.0,C1534119362,14400.0,0.0,C1859482835,0.0,71109176.0,0,0
18,CASH_OUT,9475244.0,C1965249468,0.0,0.0,C1602061666,613604814.0,623080058.0,0,0
372,CASH_OUT,36258178.0,C192954772,5022500.0,0.0,C706814001,0.0,36258178.0,0,0
429,CASH_OUT,2786310.0,C1940326178,0.0,0.0,C1836600283,167992957.0,170779267.0,0,0
203,TRANSFER,138363009.0,C1254380326,1278692.0,0.0,C588565911,977149499.0,1115512508.0,0,0
496,CASH_OUT,17472511.0,C1679215077,17472511.0,0.0,C2091877200,441544647.0,459017158.0,1,0
477,CASH_OUT,172060092.0,C1928293922,172060092.0,0.0,C2120663616,508569159.0,680629251.0,1,0
162,CASH_OUT,48105804.0,C1984864384,33312500.0,0.0,C230610305,0.0,48105804.0,0,0
404,TRANSFER,37332287.0,C1549769780,37332287.0,0.0,C1935951108,0.0,0.0,1,0
690,CASH_OUT,5927124.0,C490985758,0.0,0.0,C831659823,20721125.0,26648249.0,0,0
34,TRANSFER,5255721.0,C437611850,5255721.0,0.0,C830293590,0.0,0.0,1,0
235,CASH_OUT,120510.99999999999,C637726725,0.0,0.0,C451111351,1777887289.9999998,1778007800.0,0,0
302,CASH_OUT,8236760.000000001,C310298787,0.0,0.0,C1280425034,66256562.0,74493322.0,0,0
133,CASH_OUT,48389252.0,C574196476,2973800.0,0.0,C65201732,0.0,48389252.0,0,0
325,CASH_OUT,10091450.0,C358116982,0.0,0.0,C1890533498,30946989.0,41038439.0,0,0
13,CASH_OUT,45485939.0,C1274887619,0.0,0.0,C2146670328,0.0,45485939.0,1,0
148,TRANSFER,9916897.0,C193359947,9916897.0,0.0,C1492417626,0.0,0.0,1,0
159,CASH_OUT,943849.0,C258061688,241900.0,0.0,C1417571958,11813903.0,12757752.0,0,0
328,CASH_OUT,15717716.0,C178579208,26957900.0,11240184.0,C416078784,220557877.0,236275593.00000003,0,0
694,CASH_OUT,517587653.0,C731901376,517587653.0,0.0,C1761260133,722971273.0,1240558926.0,1,0
253,TRANSFER,92606532.0,C647350124,0.0,0.0,C1658129041,1093346227.0,1185952759.0,0,0
21,CASH_OUT,49403283.0,C927431770,0.0,0.0,C400888578,175598965.0,225002248.0,0,0
705,CASH_OUT,40439404.0,C1213992157,40439404.0,0.0,C137185158,23580957.0,64020361.0,1,0
307,CASH_OUT,234369685.0,C1652159172,234369685.0,0.0,C1212506708,15877860.999999998,250247546.0,1,0
375,CASH_OUT,9623920.0,C10725168,1936300.0,0.0,C453285004,0.0,9623920.0,0,0
